# Scan of Total Energy
# X-Axis:  Scan Coordinate
# Y-Axis:  Total Energy (Hartree)
#                  X                   Y
     -180.0000000000     -378.6625848760
     -170.0000000000     -378.6659534980
     -160.0000000000     -378.6664982070
     -150.0000000000     -378.6664781360
     -140.0000000000     -378.6658625840
     -130.0000000000     -378.6647204010
     -120.0000000000     -378.6632267060
     -110.0000000000     -378.6616647910
     -100.0000000000     -378.6603988880
      -90.0000000000     -378.6597626050
      -80.0000000000     -378.6598791750
      -70.0000000000     -378.6606035270
      -60.0000000000     -378.6616399520
      -50.0000000000     -378.6626694450
      -40.0000000000     -378.6634202120
      -30.0000000000     -378.6637238840
      -20.0000000000     -378.6636270020
      -10.0000000000     -378.6639298000
        0.0000000000     -378.6650424700
       10.0000000000     -378.6660169660
       20.0000000000     -378.6665223630
       30.0000000000     -378.6664415990
       40.0000000000     -378.6657699340
       50.0000000000     -378.6646059890
       60.0000000000     -378.6631449460
       70.0000000000     -378.6616528830
       80.0000000000     -378.6604319510
       90.0000000000     -378.6597756310
      100.0000000000     -378.6598704890
      110.0000000000     -378.6606417750
      120.0000000000     -378.6617512030
      130.0000000000     -378.6628022430
      140.0000000000     -378.6635031690
      150.0000000000     -378.6637290130
      160.0000000000     -378.6636108240
      170.0000000000     -378.6639365910
      180.0000000000     -378.6649847240
